"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TRINITY_DN34410_c0_g1_i1",162.008139447803,4.40288172673967,0.496387331641112,8.86985111441756,7.32437633668858e-19,2.62432404143552e-15
"TRINITY_DN17150_c0_g2_i1",14.2545637629602,3.15975913524333,0.44889907921636,7.03890758867071,1.93752809967508e-12,3.47108159056791e-09
"TRINITY_DN43495_c0_g1_i1",11.9980989968522,6.54742898194735,0.955983760224361,6.84889142929659,7.44244513999611e-12,8.88876031220202e-09
"TRINITY_DN7931_c0_g2_i2",213.447900726939,2.37585904587522,0.406975133676873,5.83784818598176,5.28793055606181e-09,3.7893310364739e-06
"TRINITY_DN84171_c0_g1_i2",37.7043157425054,2.51043354322362,0.428120058079735,5.86385406580523,4.52244988960673e-09,3.7893310364739e-06
"TRINITY_DN303_c2_g1_i1",18.0173742543919,3.90530005361849,0.673013276382453,5.8027087884656,6.52520638554679e-09,3.89663574656902e-06
"TRINITY_DN136_c0_g1_i5",20.1209164622557,2.10754040286633,0.398136769558254,5.29350857295777,1.1999161407117e-07,6.14185647452859e-05
"TRINITY_DN2150_c0_g1_i10",58.8142163039397,2.45755296235579,0.495153239150231,4.96321697616959,6.9335049511347e-07,0.000310534352998945
"TRINITY_DN2755_c1_g1_i8",3.82180518359688,3.51285428546944,0.765658683653068,4.58801599259491,4.47478366201039e-06,0.0017814610956648
"TRINITY_DN9745_c0_g1_i1",50.6357192248022,-0.798542773242304,0.198862738970924,-4.01554749459154,5.93079532147218e-05,0.0212500396368348
"TRINITY_DN1781_c2_g1_i10",131.691799834094,0.461960160707535,0.127717821880711,3.61703757474826,0.000297994058720857,0.0970647920360754
"TRINITY_DN130643_c0_g2_i1",45.6951072052381,2.15686111312117,0.645176295954411,3.3430569700806,0.000828608867354767,0.247408797644344
"TRINITY_DN27083_c0_g1_i1",12.5165329391874,1.08892109916149,0.343405658333853,3.1709468750304,0.00151942927962889,0.418778085300794
"TRINITY_DN6_c0_g2_i1",261.317338463388,0.681407635863944,0.219833963257801,3.09964677780409,0.00193751551637317,0.495865578226077
"TRINITY_DN2497_c0_g1_i9",3.34038387553972,2.29119896150393,0.780730682098971,2.93468543511587,0.00333885982977188,0.797542318004844
"TRINITY_DN167902_c0_g1_i1",7.18512113787807,1.50665722337072,0.522193761614218,2.88524554317405,0.00391108486964898,0.875838567997018
"TRINITY_DN10002_c0_g1_i1",3.50308664467727,-0.423699882434958,0.651522099511708,-0.65032311682521,0.515483527924699,0.998006252723636
"TRINITY_DN10006_c0_g1_i6",179.800419965457,0.146306401880335,0.176739062718884,0.827810217105461,0.407777987546268,0.998006252723636
"TRINITY_DN1000_c0_g1_i1",7.37494862373925,-0.0409208726698451,0.432894081039239,-0.0945286028665656,0.924689262366552,0.998006252723636
"TRINITY_DN1000_c1_g1_i2",8.74431045389549,-0.604731681768945,0.449145159705896,-1.3464058750292,0.178171657271604,0.998006252723636
"TRINITY_DN10010_c0_g1_i1",3.4752805644811,-0.335915673445509,0.63547812945093,-0.528603043720401,0.597080848417845,0.998006252723636
"TRINITY_DN10011_c0_g1_i1",5.73090551430555,-0.367520697060889,0.557678685084035,-0.659018726895592,0.509883743240015,0.998006252723636
"TRINITY_DN10015_c0_g2_i2",9.87980567378876,0.213211888444294,0.363449730595606,0.586633777647575,0.557449692139739,0.998006252723636
"TRINITY_DN100162_c0_g2_i1",30.2247573334758,0.156907337846555,0.267634998410257,0.586273614357537,0.557691659341506,0.998006252723636
"TRINITY_DN1001_c0_g1_i2",4.5205168957736,-0.58509514433614,0.534189786275005,-1.09529451773331,0.273387628522163,0.998006252723636
"TRINITY_DN1001_c0_g1_i3",4.83593623108761,-0.1045160857649,0.564111233472462,-0.185275668278289,0.853012821523495,0.998006252723636
